Investment ID;country 1;country 2;country 3
2;Portugal;NULL;NULL
4;Portugal;NULL;NULL
474;Portugal;NULL;NULL
941;Portugal;NULL;NULL
18;Portugal;Spain;NULL
496;Portugal;Spain;NULL
498;Portugal;Spain;NULL
499;Portugal;Spain;NULL
500;Portugal;Spain;NULL
31;Spain;NULL;NULL
569;Spain;NULL;NULL
570;Spain;NULL;NULL
38;Spain;France;NULL
55;France;Italy;NULL
60;France;Belgium;NULL
62;France;Great Britain;NULL
614;Austria;Italy;NULL
70;Italy;Montenegro;NULL
624;Italy;Montenegro;NULL
1503;Italy;Montenegro;NULL
635;Italy;Tunisia;NULL
642;Switzerland;Italy;NULL
90;Italy;NULL;NULL
1041;Italy;NULL;NULL
311;Czech Republic;NULL;NULL
313;Czech Republic;NULL;NULL
315;Czech Republic;NULL;NULL
141;Denmark;Germany;NULL
142;Norway;Germany;NULL
406;Norway;Germany;NULL
144;Denmark;Germany;NULL
650;Belgium;Germany;Luxembourg
219;Germany;Austria;NULL
689;Germany;Austria;NULL
696;Slovakia;Hungary;NULL
697;Slovakia;Hungary;NULL
1500;Slovakia;Hungary;NULL
1501;Slovakia;Hungary;NULL
386;Estonia;Latvia;NULL
735;Estonia;Latvia;NULL
1062;Estonia;Latvia;NULL
427;Denmark;Netherlands;NULL
443;Belgium;Great Britain;NULL
449;Great Britain;Great Britain;NULL
450;Great Britain;Great Britain;NULL
752;Belgium;NULL;NULL
452;United Kingdom;;NULL
458;United Kingdom;;NULL
462;Ireland;Northern Ireland;NULL
463;Ireland;Northern Ireland;NULL
896;Ireland;Northern Ireland;NULL
897;Ireland;Northern Ireland;NULL
779;Portugal;NULL;NULL
780;Portugal;NULL;NULL
146;Belgium;Germany;NULL
139;Poland;Germany;NULL
796;Poland;Germany;NULL
1492;Poland;NULL;NULL
1493;Germany;NULL;NULL
801;Finland;NULL;NULL
1488;Netherlands;NULL;NULL
1490;Netherlands;NULL;NULL
1539;Netherlands;NULL;NULL
1540;Netherlands;NULL;NULL
1560;Netherlands;NULL;NULL
810;France;Ireland;NULL
424;United Kingdom;norway;NULL
396;Finland;Sweden;NULL
145;Netherlands;Germany;NULL
1625;Belgium;NULL;NULL
934;Belgium;Great Britain;NULL
373;Poland;Lithuania;NULL
378;Lithuania;Sweden;NULL
385;Lithuania;Sweden;NULL
733;Lithuania;Sweden;NULL
403;Sweden;NULL;NULL
86;Italy;NULL;NULL
96;Italy;NULL;NULL
645;Italy;NULL;NULL
665;Germany;NULL;NULL
661;Germany;NULL;NULL
176;Germany;NULL;NULL
680;Germany;NULL;NULL
179;Germany;NULL;NULL
188;Germany;NULL;NULL
273;Romania;Bulgaria;NULL
275;Romania;Bulgaria;NULL
715;Romania;Bulgaria;NULL
800;Romania;Bulgaria;NULL
256;Bulgaria;Greece;NULL
257;Bulgaria;Greece;NULL
258;Bulgaria;Greece;NULL
262;Bulgaria;Greece;NULL
238;Romania;Serbia;NULL
269;Romania;Serbia;Hungary
270;Romania;Serbia;Hungary
701;Romania;Serbia;NULL
705;Romania;Serbia;NULL
616;Slovenia;Italy;NULL
1616;Slovenia;Italy;NULL
987;France;Great Britain;NULL
149;Germany;NULL;NULL
157;Germany;NULL;NULL
677;Germany;NULL;NULL
685;Germany;NULL;NULL
998;Denmark;Great Britain;NULL
382;Lithuania;NULL;NULL
1004;Estonia;NULL;NULL
1010;Lithuania;NULL;NULL
1011;Lithuania;NULL;NULL
1012;Lithuania;NULL;NULL
1013;Lithuania;NULL;NULL
1034;Lithuania;NULL;NULL
1118;Lithuania;Estonia;Latvia
1564;Lithuania;NULL;NULL
1565;Lithuania;NULL;NULL
1566;Lithuania;NULL;NULL
1567;Lithuania;NULL;NULL
1568;Lithuania;NULL;NULL
1569;Lithuania;NULL;NULL
1570;Lithuania;NULL;NULL
1571;Lithuania;NULL;NULL
1572;Lithuania;Estonia;Latvia
1633;Lithuania;NULL;NULL
1634;Lithuania;NULL;NULL
1635;Lithuania;NULL;NULL
1487;United Kingdom;France;NULL
1281;France;Belgium;NULL
1014;Italy;Switzerland;NULL
1000;Denmark;Denmark;NULL
995;Germany;Sweden;NULL
1016;Denmark;Germany;NULL
1018;Denmark;Germany;NULL
886;Austria;NULL;NULL
997;Austria;Germany;NULL
1382;Great Britain;Norway;NULL
