Investment ID;From;To;Tso In Charge From;Tso In Charge To
2;Pedralva (PT);Sobrado (PT);REN;REN
4;V.Minho (by Ribeira de Pena and Fridão);Feira (by Ribeira de Pena and Fridão);REN;REN
474;Ribeira de Pena (PT);NULL;REN;NULL
941;Fridão;NULL;REN;NULL
18;Beariz (ES);Fontefria (ES);REE;REE
496;Fontefria (ES);Vila Nova de FamalicÆo (PT) (By Ponte de Lima);REE;REN
498;Fontefria (ES);REE;REE;REE
499;Beariz (ES);Beariz (ES);REE;REE
500;Ponte de Lima (PT);Ponte de Lima (PT);REN;REN
31;Caparacena (ES);La Ribina (ES);REE;REE
569;Baza (ES);Baza (ES);REE;REE
570;La Ribina (ES);La Ribina (ES);REE;REE
38;Gatica (ES);Cubnezais (FR);REE;RTE
55;Grande Ile (FR);Piossasco (IT);RTE;TERNA
60;Avelin/Mastaing (FR);Horta (BE);RTE;ELIA
62;Tourbe (FR);Chilling (GB);RTE;NGIHL
614;Nauders (AT);Glorenza (IT);APG;Terna
70;Villanova (IT);Lastva (ME);TERNA;CGES
624;Lastva (ME);NULL;CGES;N/A
1503;Villanova (IT);Lastva (ME);Terna;CGES
635;Sicily Area (IT);Tunisia node;TERNA;STEG
642;All'Acqua (CH);Pallanzeno(IT)-Baggio(IT);SWISSGRID;TERNA
90;Calenzano (IT);Colunga (IT);TERNA;TERNA
1041;Villanova (IT);S. Barbara (IT);TERNA;TERNA
311;Kocin (CZ);NULL;CEPS;CEPS
313;Kocin (CZ);Mirovka (CZ);CEPS;CEPS
315;Kocin (CZ);Prestice (CZ);CEPS;CEPS
141;Ishøj / Bjæverskov (DK);Bentwisch (DE);Energinet.dk;50Hertz Transmission GmbH
142;Tonstad (NO);Wilster (DE);Statnett;TenneT-DE
406;(Southern part of Norway) (NO);(Southern part of Norway)(NO);Statnett;Statnett
144;Audorf (DE);Kassoe (DK);TenneT-DE;Energinet.dk
650;Aubange (TBC);LUX-DE (TBC);ELIA;"CREOS; AMPRION"
219;Westtirol (AT);Zell-Ziller (AT);APG;APG
689;Vöhringen (DE);Westtirol (AT);Amprion;APG
696;Sajóivánka (HU);NULL;MAVIR;N/A
