Investment ID;Name;Project Id
2;Pedralva-Sobrado;1
4;V.Minho -R.Pena-Fridão-Feira;1
474;Substation Ribeira de Pena;1
941;Switching station Fridão;1
18;Beariz (ES) - Fontefria (ES);4
496;Fontefria (ES) - Vila Nova de FamalicÆo (PT);4
498;SE Fontefria 400/220kV ;4
499;Beariz 400kV  (ES);4
500;Ponte de Lima (PT);4
31;Axis Caparacena-Baza-La Ribina;13
569;New substation Baza;13
570;New substation La Ribina;13
38;HVDC Gatica-Cubnezais;16
55;Savoie - Pièmont;21
60;FR-BE I: Avelin/Mastaing-Avelgem-Horta HTLS;23
62;IFA2;25
614;Reschenpass Interconnector;26
70;First HVDC Module IT-ME;28
624;SS 400/110 kV Lastva;28
1503;Second HVDC Module IT-ME;28
635;Elmed Project;29
642;San Giacomo Project;31
90;90;33
1041;Rem. lim. in Central Italy;33
311;R Kocin;35
313;Kocin-Mirovka;35
315;Kocin-Prestice;35
141;Kriegers Flak CGS, TYNDP ID: 36.141;36
142;Norway - Germany HVDC;37
406;Western corridor;37
144;Audorf - Kassoe;39
650;BE-LUX-DE Long-Term perspective;40
219;219: Westtirol - Zell/Ziller (AT internal);47
689;689: Vöhringen (DE) - Westtirol (AT);47
696;Hunew 1;48
697;Hunew 2;48
1500;1. SK-HU interconnection;48
1501;2. SK-HU interconnection;48
386;3rd EE-LV interconnection;62
735;Harku-Sindi 330kV OHL;62
1062;Riga CHP2 - Riga HPP;62
427;COBRA Cable;71
443;NEMO;74
449;Richborough - Canterbury;74
450;SELL - DUNG Reconductoring;74
752;Modular Offshore Grid;75
452;Western HVDC Link;77
458;HINP-SEAB New Double Circuit;78
462;462;81
463;Srananagh - South Donegal;82
896;Omagh South to South Donegal;82
897;Omagh South to Turleenan;82
779;F.Alentejo-Ourique-Tavira;85
780;Extension of Ourique substation;85
146;ALEGrO;92
139;Krajnik-Vierraden;94
796;Krajnik;94
1492;PST in Mikulowa;94
1493;PST Vierraden;94
801;FI5 KI-PS;96
1488;Diemen-Lelystad-Ens;103
1490;Ens-Zwolle;103
1539;Krimpen-Geertruidenberg;103
1540;Eindhoven-Maasbracht;103
