Investment ID;Name;Project Id;ExpectedCommissioningYear
2;Pedralva-Sobrado;1;2023
4;V.Minho -R.Pena-Fridão-Feira;1;2024
474;Substation Ribeira de Pena;1;2024
941;Switching station Fridão;1;2026
18;Beariz (ES) - Fontefria (ES);4;2021
496;Fontefria (ES) - Vila Nova de FamalicÆo (PT);4;2021
498;SE Fontefria 400/220kV ;4;2021
499;Beariz 400kV  (ES);4;2021
500;Ponte de Lima (PT);4;2020
31;Axis Caparacena-Baza-La Ribina;13;2025
569;New substation Baza;13;2025
570;New substation La Ribina;13;2025
38;HVDC Gatica-Cubnezais;16;2025
55;Savoie - Pièmont;21;2019
60;FR-BE I: Avelin/Mastaing-Avelgem-Horta HTLS;23;2022
62;IFA2;25;2020
614;Reschenpass Interconnector;26;2021
70;First HVDC Module IT-ME;28;2019
624;SS 400/110 kV Lastva;28;2019
1503;Second HVDC Module IT-ME;28;2026
635;Elmed Project;29;2025
642;San Giacomo Project;31;2025
90;90;33;2022
1041;Rem. lim. in Central Italy;33;2022
311;R Kocin;35;2024
313;Kocin-Mirovka;35;2024
315;Kocin-Prestice;35;2028
141;Kriegers Flak CGS, TYNDP ID: 36.141;36;2019
142;Norway - Germany HVDC;37;2020
406;Western corridor;37;2020
144;Audorf - Kassoe;39;2021
650;BE-LUX-DE Long-Term perspective;40;2035
219;219: Westtirol - Zell/Ziller (AT internal);47;2024
689;689: Vöhringen (DE) - Westtirol (AT);47;2024
696;Hunew 1;48;2020
697;Hunew 2;48;2020
1500;1. SK-HU interconnection;48;2020
1501;2. SK-HU interconnection;48;2020
386;3rd EE-LV interconnection;62;2020
735;Harku-Sindi 330kV OHL;62;2021
1062;Riga CHP2 - Riga HPP;62;2020
427;COBRA Cable;71;2019
443;NEMO;74;2019
449;Richborough - Canterbury;74;2018
450;SELL - DUNG Reconductoring;74;2019
752;Modular Offshore Grid;75;2020
452;Western HVDC Link;77;2017
458;HINP-SEAB New Double Circuit;78;2024
462;462;81;2020
463;Srananagh - South Donegal;82;2029
896;Omagh South to South Donegal;82;2029
897;Omagh South to Turleenan;82;2029
779;F.Alentejo-Ourique-Tavira;85;2024
780;Extension of Ourique substation;85;2024
146;ALEGrO;92;2020
139;Krajnik-Vierraden;94;2021
796;Krajnik;94;2019
1492;PST in Mikulowa;94;2017
1493;PST Vierraden;94;2019
801;FI5 KI-PS;96;2024
1488;Diemen-Lelystad-Ens;103;2020
1490;Ens-Zwolle;103;2022
1539;Krimpen-Geertruidenberg;103;2020
1540;Eindhoven-Maasbracht;103;2023
1560;Randstad380 noordring;103;2018
810;France Ireland Interconnector;107;2026
424;Norway - Great Britain;110;2021
396;3rd AC Finland-Sweden north;111;2025
145;Doetinchem-Niederrhein;113;2018
