Project Id;Project Name;Promotor;Description
1;RES in north of Portugal;REN;The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (hydro with pumping and also wind) that is foreseen in the north of Portugal, where the RES potential is high. The project includes a set of new 400 kV OHL that will form a new axis between V. Minho-R. Pena-Fridão-Feira. A new 400 kV OHL Pedralva-Sobrado (PCI 2.16.1) is also included in this cluster, in order to ensure the maintenance of the NTC values between PT and ES that were available prior to the connection of these new power plants.
4;Interconnection Portugal-Spain;"REE;REN";In order to reach a complete operational Iberian Electricity Market (MIBEL), and strengthening the Internal Energy Market (IEM), the increase of the interconnection between Spain and Portugal is needed. A new OHL 400kV interconnection between Fontefría (Spain) and Ponte de Lima (Portugal). Internal reinforcements complement the cross border section, such as the axis in Spain between Fontefría and Beariz and in Portugal between Ponte de Lima (previously Viana do Castelo) and Vila Nova de Famalicão (previously Vila doConde).This project was included in the 2013, 2015 and 2017 PCI list (PCI 2.17).
13;Baza project;REE;This Project includes a new double circuit Caparacena-Baza-La Ribina 400 kV OHL, in Spain with two new 400 kV substations in Baza and La Ribina. This project allows to solve today restrictions and integrate new RES generation in an area without transmission network.
16;Biscay Gulf;"REE;RTE";The project consist of  370 km HVDC-VSC link (2 bipoles of 1000 MW each) mainly subsea in the Biscay Gulf, between Gatica (Basque Counrty, ES) and Cubnezais (Aquitaine, FR). Included in the Madrid Declaration, this project aims at improving the interconnection ES-FR. This project was included in the 2013,2015 and 2017 PCi list (PCI 2.7)
21;Italy-France;"RTE;TERNA";"""The Project comprises a new  320 kV HVDC  interconnection between France and Italy. The new HVDC link will connect the substations of Piossasco and Grand Ile mainly along motor way infrastructures and the Fréjus tunnel."""
23;FR-BE I: Avelin/Mastaing-Avelgem-Horta HTLS;"ELIA; RTE";The project consists in the reconductoring of the existing 80km double-circuit 400kV AC cross-border line between Lille (Avelin/Mastaing, FR) - Avelgem (BE) and onwards to Zomergem (Horta, BE) with High Temperature Low Sag conductors to double its capacity.
25;IFA2;NGIHL,RTE;IFA2 is a new HVDC VSC subsea interconnector that will develop between Tourbe in France (area of Caen) and Chilling in Great Britain (area of Southampton).
26;Reschenpass Interconnector Project;"APG; TERNA";New 220kV interconnector between the substations Nauders (AT) and Glorenza (IT)
28;Italy-Montenegro;"CGES;TERNA";""" The Italy-Montenegro interconnection project includes a new HVDC subsea cable between Villanova (Italy) and Lastva (Montenegro) and the DC converter stations. The HVDC link between Italy and Balkansis correlated with the Transbalkan Corridor (projects 146 and 227) and the Mid Continental East Corridor (project 144)."""
29;Italy-Tunisia;"TERNA; STEG";"""The project consists in a new interconnection between Tunisia and Sicily to be realized through an HVDC submarine cable. The realization of the project is supported by the Italian and Tunisian Governments to increase the interconnection capacity of the Euro-Mediterranean system. Moreover, the project will contribute to reduce, under specific conditions, present and future limitations to the power exchanges on the northern Italian border, with France, Switzerland, Austria and Slovenia, and therefore it will allow to significantly increase the transmission capacity and its exploitation by at least 500 MW on that boundary."""
31;Italy-Switzerland;"SWISSGRID;TERNA";""" The project consists of a new 400 kV line San Giacomo-Pallanzeno, conversion from AC to DC of the 220 kV line between Pallanzeno and Milan area, including the realization of the 2 AC/DC converter stations and 220 kV to 400 KV substation upgrade. Additional internal lines in Italy and in Switzerland are required to get the full advantage from the interconnection capacity provided by the cross-border line"""
33;Central Northern Italy;TERNA;"""The project consists in the strengthening of interconnection between the northern and the central part of Italy. It will involve the upgrading of existing 220 kV over-head line to 400 kV between Colunga and Calenzano substations as well as the removing of limitations on the existing 220 kV network in Central Italy"""
35;CZ Southwest-east corridor;CEPS;"""A corridor of internal 400 kV overhead lines inside the Czech Republic connecting existing 420 kV substations between Prestice, Kocin, Mirovka and Cebin in the southwest-east direction. The project consists of buidling a new AC 400 kV overhead line which connects 420 kV substations Kocin and Mirovka with double circuit line of about 120.5 km lenght and a capacity of 2x1730 MVA, building of a 400 kV overhead lines that involves changing of a 400 kV existing single-ciruit line to double-circuit line with a capacity of 2x1730 MVA between Kocin-Prestice. The upgrading of the existing 420 kV substation Kocin is also a part of the project"""
36;Kriegers Flak CGS;50Hertz Transmission, Energinet.dk;The Combined Grid Solution (CGS) is new a AC offshore connection between Denmark and Germany with back to back stations placed in Germany. The project is a combined grid connection of the offshore wind farms Kriegers Flak, Baltic 1, 2 and an interconnection between both countries.
37;"""Norway - Germany, NordLink""";"STATNETT;TENNET-DE";NordLink: a new HVDC connection between Southern Norway and Northern Germany.  Estimated subsea cable length: 514km. Capacity: 1400 MW.
39;"""DKW-DE, step 3""";"Energinet.dk; TENNET-DE";New double circuit 380kV line from Kassoe (DK) to Audorf (DE). As third phase of the Danish-German agreement to upgrade cross border transfere capacity. The project is labelled by the EC as project of common interes (PCI 1.4.1)
40;Belgium-Luxemburg-Germany: long-term perspective;"CREOS; ELIA; AMPRION";"An increase of transfer capacity across the BE-LU-DE corridor is envisioned towards the 2030-2040 time horizon.

Further studies will determine the appropriate implementation option and timing, taking into account
- the recent evolutions with installation of PST in Schifflange and creation of the LuxRing as reported in previous TYNDPs
- the expected evolution on the LU-DE border as presented in project 328"
47;Westtirol - Vöhringen;"AMPRION; APG";"Westtirol (AT) - Zell/Ziller (AT)
Westtirol (AT) - Vöhringen (DE)"
48;New SK-HU intercon. - phase 1;MAVIR,SEPS;This project will increase the transfer capacity between Slovak and Hungarian transmission systems, improve security and reliability of operation both transmission systems and support North - South RES power flows in CCE region. Main investments of this project are double circuit AC OHL 400 kV from new Gabcikovo (Slovakia) substation to Gonyu (Hungary) substation, with one circuit connected to the Velky Dur (Slovakia) substation and double circuit AC OHL (preliminary armed only with one circuit on Hungarian side) 400 kV from Rimavska Sobota (Slovakia) substation to Sajoivanka (Hungary) substation.
62;Estonia-Latvia 3rd IC;"AST; ELERING";Project nr 62 is a planned third 330 kV interconnection between Estonia and Latvia. The project consists of 3 investments of which nr 386 is the main inter-area investment, AC 330 kV OHL between Kilingi-Nõmme substation in Estonia and Riga CHP2 substations
71;COBRA cable;Energinet,TENNET-NL;The project is an interconnection between Endrup (Denmark) and Eemshaven (The Netherlands). The project consists of a 320 kV DC subsea cable and related substations on both ends, 325 km apart, applying VSC DC technology.
74;Thames Estuary Cluster (NEMO-Link);ELIA, NGIHL, NGET;This project envisions the realization of NEMO-Link – the first interconnector between Great Britain and Belgium – as a 1 GW HVDC link of ~140km with technical commissioning by 2018 and operation in 2019, including a number of onshore UK reinforcements to facilitate this and other potential interconnector connections within the Thames Estuary region.The NEMO interconnector is promoted by NGIHL and Elia. The reinforcements to the internal GB network are the responsibility of NGET.
