Project Id;Promotor;Project Name;Description;Investment ID;Name;From;To;Elements Type;Technology Type;Voltage Level;Expected Commissioning Year;Status;Tso In Charge From;Tso In Charge To;country 1;country 2;country 3
1;REN;RES in north of Portugal;The main objective of this project consists in introducing the network reinforcements that are needed to allow the connection of new RES generation (hydro with pumping and also wind) that is foreseen in the north of Portugal, where the RES potential is high. The project includes a set of new 400 kV OHL that will form a new axis between V. Minho-R. Pena-Fridão-Feira. A new 400 kV OHL Pedralva-Sobrado (PCI 2.16.1) is also included in this cluster, in order to ensure the maintenance of the NTC values between PT and ES that were available prior to the connection of these new power plants.;2;Pedralva-Sobrado;Pedralva (PT);Sobrado (PT);Overhead Line;AC;400;2022-2023;Planned But Not Yet Permitting;REN;REN;Portugal;;
;;;;4;V.Minho -R.Pena-Fridão-Feira;V.Minho (by Ribeira de Pena and Fridão);Feira (by Ribeira de Pena and Fridão);Overhead Line;AC;400;2022-2024;In Permitting;REN;REN;Portugal;;
;;;;474;Substation Ribeira de Pena;Ribeira de Pena (PT);-;Substation;AC;400;2022-2024;In Permitting;REN;-;Portugal;;
;;;;941;Switching station Fridão;Fridão;-;Substation;AC;400;2026-2030;In Permitting;REN;-;Portugal;;
4;"REE;REN";Interconnection Portugal-Spain;In order to reach a complete operational Iberian Electricity Market (MIBEL), and strengthening the Internal Energy Market (IEM), the increase of the interconnection between Spain and Portugal is needed. A new OHL 400kV interconnection between Fontefría (Spain) and Ponte de Lima (Portugal). Internal reinforcements complement the cross border section, such as the axis in Spain between Fontefría and Beariz and in Portugal between Ponte de Lima (previously Viana do Castelo) and Vila Nova de Famalicão (previously Vila doConde).This project was included in the 2013, 2015 and 2017 PCI list (PCI 2.17).;18;Beariz (ES) - Fontefria (ES);Beariz (ES);Fontefria (ES);Overhead Line;AC;400;1/ 1/ 2021;In Permitting;REE;REE;Portugal;Spain;
;;;;496;Fontefria (ES) - Vila Nova de FamalicÆo (PT);Fontefria (ES);Vila Nova de FamalicÆo (PT) (By Ponte de Lima);Overhead Line;AC;400;1/ 1/ 2021;In Permitting;REE;REN;Portugal;Spain;
;;;;498;SE Fontefria 400/220kV ;Fontefria (ES);REE;Substation;AC;400;1/ 1/ 2021;In Permitting;REE;REE;Portugal;Spain;
;;;;499;Beariz 400kV  (ES);Beariz (ES);Beariz (ES);Substation;AC;400;1/ 1/ 2021;In Permitting;REE;REE;Portugal;Spain;
;;;;500;Ponte de Lima (PT);Ponte de Lima (PT);Ponte de Lima (PT);Substation;AC;400;2020-2021;In Permitting;REN;REN;Portugal;Spain;
13;REE;Baza project;This Project includes a new double circuit Caparacena-Baza-La Ribina 400 kV OHL, in Spain with two new 400 kV substations in Baza and La Ribina. This project allows to solve today restrictions and integrate new RES generation in an area without transmission network.;31;Axis Caparacena-Baza-La Ribina;Caparacena (ES);La Ribina (ES);Overhead Line;AC;400;2025;Under Consideration;REE;REE;Spain;;
;;;;569;New substation Baza;Baza (ES);Baza (ES);Substation;AC;400;2025;Under Consideration;REE;REE;Spain;;
;;;;570;New substation La Ribina;La Ribina (ES);La Ribina (ES);Substation;AC;400;2025;Under Consideration;REE;REE;Spain;;
